
Discharge Power Limits (kW), ST - Discharge Power Limits (kW), ST - Discharge Current Limits (A), ST - Charge Current Limits (A), Battery SOC %, Battery SOH % 
"9.711219","-3.609191","238.575569","-70.260870","89.990084","100.000000"
"9.693783","-3.646748","238.045549","-70.956522","89.982407","100.000000"
"9.689471","-3.684393","237.913043","-71.652174","89.982230","100.000000"
"9.677683","-3.721911","237.565217","-72.347826","89.965562","100.000000"
"9.654517","-3.759430","236.869565","-73.043478","89.947319","100.000000"
"9.631158","-3.796904","236.173913","-73.739130","89.923335","100.000000"
"9.607519","-3.834353","235.478261","-74.434783","89.890529","100.000000"
"9.584377","-3.872045","234.782609","-75.130435","89.876302","100.000000"
